Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Duke,1,ACC,32-2,32,2,0.9411764705882352,38.9,128.0,4,89.1,2,65.3,287,0.049,63,14.29,15,117.0,24,102.7,10,10.07,18
2,Arizona,1,B12,32-2,32,2,0.9411764705882352,37.66,127.7,5,90.0,3,69.8,54,0.023,127,14.97,9,117.6,15,102.7,7,3.25,102
3,Michigan,1,B10,31-3,31,3,0.9117647058823528,37.59,126.6,8,89.0,1,70.9,22,0.045,70,16.65,3,119.1,4,102.5,5,12.49,11
4,Florida,1,SEC,26-7,26,7,0.7878787878787878,33.79,125.5,9,91.7,6,70.5,28,-0.036,289,16.01,5,119.4,3,103.4,26,7.96,29
5,Houston,2,B12,28-6,28,6,0.8235294117647058,33.43,124.9,14,91.4,5,63.3,352,-0.006,203,13.58,24,116.9,25,103.3,24,0.87,156
6,Iowa State,2,B12,27-7,27,7,0.7941176470588235,32.42,123.8,21,91.4,4,66.5,225,-0.012,219,12.44,31,115.6,48,103.1,20,-3.57,280
7,Illinois,3,B10,24-8,24,8,0.75,32.1,131.2,2,99.1,28,65.5,277,-0.05,305,13.64,23,117.0,22,103.4,28,3.76,91
8,Purdue,2,B10,27-8,27,8,0.7714285714285715,31.2,131.6,1,100.4,36,64.4,324,-0.006,198,15.88,7,118.3,9,102.5,4,6.31,50
9,Michigan State,3,B10,25-7,25,7,0.78125,28.31,123.0,24,94.7,13,66.0,252,0.005,178,13.69,21,118.0,11,104.4,55,3.65,93
10,Gonzaga,3,WCC,30-3,30,3,0.9090909090909092,28.1,122.0,29,93.9,9,68.6,111,0.072,28,5.89,87,113.0,82,107.1,98,8.31,26
11,UConn,2,BE,29-5,29,5,0.8529411764705882,27.87,122.0,30,94.1,11,64.4,322,0.055,55,12.01,36,115.3,53,103.3,23,7.63,38
12,Vanderbilt,5,SEC,26-8,26,8,0.7647058823529411,27.51,126.8,7,99.3,31,68.8,98,0.018,133,14.56,13,118.0,13,103.4,29,1.16,148
13,Virginia,3,ACC,29-5,29,5,0.8529411764705882,26.71,122.5,27,95.8,16,65.7,271,0.056,52,9.95,70,115.4,49,105.5,73,-3.27,273
14,Nebraska,4,B10,26-6,26,6,0.8125,26.16,118.5,55,92.4,7,66.7,218,0.034,98,11.59,42,116.4,32,104.8,63,-6.03,319
15,Arkansas,4,SEC,26-8,26,8,0.7647058823529411,26.05,127.7,6,101.6,48,71.0,20,0.051,61,14.95,10,118.9,7,103.9,38,4.41,81
16,Tennessee,6,SEC,22-11,22,11,0.6666666666666666,26.02,121.1,37,95.0,15,65.0,307,-0.06,321,14.77,11,119.0,5,104.3,50,0.75,160
17,St. John's,5,BE,28-6,28,6,0.8235294117647058,25.91,120.1,44,94.2,12,69.6,68,0.061,44,11.52,43,115.1,59,103.6,31,6.61,44
18,Alabama,4,SEC,23-9,23,9,0.71875,25.72,129.0,3,103.3,67,73.1,4,0.019,130,16.75,2,119.4,1,102.7,9,13.42,9
19,Louisville,6,ACC,23-10,23,10,0.696969696969697,25.42,124.1,19,98.6,25,69.6,62,-0.02,239,12.55,30,115.8,40,103.3,25,2.41,116
20,Texas Tech,5,B12,22-10,22,10,0.6875,25.22,125.0,12,99.8,33,66.2,243,0.006,175,15.64,8,118.3,10,102.7,8,7.75,33
21,Kansas,4,B12,23-10,23,10,0.696969696969697,24.44,118.3,57,93.9,10,67.6,164,0.053,57,16.95,1,118.0,12,101.0,1,10.99,15
22,Wisconsin,5,B10,24-10,24,10,0.7058823529411765,23.39,125.3,11,102.0,51,68.7,104,0.041,82,13.93,18,117.2,20,103.3,22,-1.1,219
23,BYU,6,B12,23-11,23,11,0.6764705882352942,23.25,125.5,10,102.2,57,69.9,46,-0.017,232,14.27,16,116.3,33,102.0,3,4.88,74
24,Saint Mary's,7,WCC,27-5,27,5,0.84375,23.07,120.3,43,97.2,19,65.2,297,0.011,155,4.99,93,111.5,96,106.5,92,3.9,90
25,Iowa,9,B10,21-12,21,12,0.6363636363636364,22.44,121.7,31,99.3,30,63.0,357,-0.061,328,11.37,47,115.6,47,104.2,49,-7.17,336
26,Ohio State,8,B10,21-12,21,12,0.6363636363636364,22.24,124.3,17,102.1,54,66.1,251,-0.031,272,13.67,22,116.6,28,103.0,15,-1.82,236
27,UCLA,7,B10,23-11,23,11,0.6764705882352942,21.67,123.7,22,102.1,53,64.6,318,0.017,136,12.22,33,116.1,35,103.9,37,-2.17,249
28,Kentucky,7,SEC,21-13,21,13,0.6176470588235294,21.48,120.5,39,99.0,27,68.3,124,-0.019,235,15.92,6,119.0,6,103.1,19,1.33,142
29,North Carolina,6,ACC,24-8,24,8,0.75,20.84,121.4,32,100.5,37,67.9,143,0.057,49,11.46,45,115.4,50,103.9,40,1.33,141
30,Utah State,9,MWC,28-6,28,6,0.8235294117647058,20.76,122.1,28,101.4,45,67.7,158,0.065,39,7.13,80,112.8,83,105.7,76,1.97,125
31,Miami (FL),7,ACC,25-8,25,8,0.7575757575757576,20.68,121.4,33,100.7,38,67.6,169,0.021,129,7.99,77,113.7,76,105.7,75,-7.33,340
32,Georgia,8,SEC,22-10,22,10,0.6875,20.48,124.7,16,104.2,80,71.4,16,-0.005,196,10.78,61,116.0,39,105.2,70,-6.45,326
33,Villanova,8,BE,24-8,24,8,0.75,19.97,120.4,41,100.4,35,65.2,296,0.067,35,10.37,67,114.7,65,104.3,54,2.9,108
34,North Carolina State,11,ACC,20-13,20,13,0.6060606060606061,19.6,124.1,20,104.5,86,69.1,86,-0.029,261,11.97,37,116.0,37,104.0,43,4.1,85
35,Santa Clara,10,WCC,26-8,26,8,0.7647058823529411,19.4,123.6,23,104.2,82,69.2,82,0.015,142,6.02,85,111.8,93,105.8,80,3.91,89
36,Clemson,8,ACC,24-10,24,10,0.7058823529411765,19.24,116.5,71,97.3,20,64.2,333,0.011,156,10.53,65,115.2,54,104.7,60,0.64,167
37,Texas,11,SEC,18-14,18,14,0.5625,19.03,125.0,13,105.9,112,66.9,206,-0.083,345,13.7,20,117.4,18,103.7,33,-6.35,321
39,Texas A&M,10,SEC,21-11,21,11,0.65625,18.67,119.7,49,101.0,41,70.5,29,-0.002,192,11.15,52,117.0,23,105.8,82,-5.88,317
41,Saint Louis,9,A10,28-5,28,5,0.8484848484848485,18.32,119.5,51,101.2,42,71.0,21,0.03,110,1.03,130,108.9,173,107.8,122,-5.82,316
42,Southern Methodist,11,ACC,20-13,20,13,0.6060606060606061,18.09,122.9,26,104.8,91,68.5,115,-0.043,297,11.15,51,115.7,43,104.6,58,1.24,144
43,TCU,9,B12,22-11,22,11,0.6666666666666666,17.59,115.4,81,97.8,22,67.7,159,0.004,179,11.04,53,115.2,55,104.1,46,-6.96,333
45,VCU,11,A10,27-7,27,7,0.7941176470588235,17.21,119.9,46,102.7,60,68.5,116,-0.007,207,3.49,102,110.4,109,106.9,96,-1.27,222
47,South Florida,11,Amer,25-8,25,8,0.7575757575757576,16.39,117.3,61,100.9,40,71.5,15,-0.026,253,3.04,104,111.2,97,108.2,131,4.94,73
52,Missouri,10,SEC,20-12,20,12,0.625,15.39,119.5,50,104.1,78,66.2,244,0.041,83,11.51,44,116.5,29,105.0,68,-7.78,344
54,UCF,10,B12,21-11,21,11,0.65625,15.04,120.5,40,105.4,101,69.2,78,0.097,17,11.91,39,115.0,61,103.1,17,-2.56,258
64,Akron,12,MAC,29-5,29,5,0.8529411764705882,12.8,118.8,54,106.0,113,70.3,32,0.018,132,-3.65,236,108.5,194,112.1,286,-3.11,267
68,McNeese,12,Slnd,28-5,28,5,0.8484848484848485,12.48,114.3,91,101.8,49,66.2,246,0.084,21,-1.86,201,107.5,250,109.4,171,9.13,22
72,Northern Iowa,12,MVC,23-12,23,12,0.6571428571428571,11.81,110.0,153,98.2,24,62.3,363,-0.07,334,1.27,127,109.5,142,108.2,132,-0.87,208
87,Hofstra,13,CAA,24-10,24,10,0.7058823529411765,9.49,114.6,89,105.1,95,64.7,317,-0.052,308,-0.91,173,108.0,223,108.9,156,3.13,103
92,High Point,12,BSth,30-4,30,4,0.8823529411764706,8.4,117.0,66,108.6,161,69.9,49,0.048,64,-9.23,342,103.7,330,112.9,319,-8.88,355
93,Miami OH,11,MAC,31-1,31,1,0.96875,8.26,116.8,70,108.5,156,69.9,44,0.099,15,-5.37,269,107.2,262,112.6,305,-9.91,361
106,Cal Baptist,13,WAC,25-8,25,8,0.7575757575757576,5.99,107.9,191,101.9,50,65.8,265,0.091,19,-1.95,204,107.1,265,109.1,161,-3.32,275
108,Hawaii,13,BW,24-8,24,8,0.75,5.97,107.1,211,101.2,43,69.7,61,0.038,92,-3.37,228,106.6,277,109.9,191,-11.24,364
113,North Dakota State,14,Sum,27-7,27,7,0.7941176470588235,5.13,111.7,124,106.6,124,66.3,237,0.04,89,-5.83,282,106.5,280,112.3,293,-0.97,214
140,Wright State,14,Horz,23-11,23,11,0.6764705882352942,2.04,112.1,117,110.0,193,67.2,192,0.009,166,-4.03,249,109.4,148,113.4,340,0.85,157
143,Troy,13,SB,22-11,22,11,0.6666666666666666,1.72,110.7,141,109.0,166,64.9,309,0.024,125,-3.23,226,107.5,249,110.8,220,4.15,84
145,Idaho,15,BSky,21-14,21,14,0.6,1.53,108.8,176,107.3,136,67.7,156,-0.012,217,-1.67,195,109.4,147,111.1,233,0.74,161
150,Penn,14,Ivy,18-11,18,11,0.6206896551724138,1.47,107.4,204,105.9,111,69.0,87,0.068,34,-0.69,166,109.2,154,109.9,189,0.51,171
163,Kennesaw State,14,CUSA,21-13,21,13,0.6176470588235294,0.57,110.6,143,110.1,194,71.2,19,0.009,167,-2.23,211,108.0,225,110.2,202,-5.17,304
181,Queens,15,ASun,21-13,21,13,0.6176470588235294,-1.44,115.8,77,117.2,322,69.6,65,0.067,37,-5.66,276,108.3,200,114.0,353,5.71,58
185,UMBC,16,AE,24-8,24,8,0.75,-1.67,108.2,183,109.9,192,66.2,242,0.046,68,-14.87,365,100.5,364,115.4,364,-6.98,334
187,Tennessee St.,15,OVC,23-9,23,9,0.71875,-1.83,109.1,173,110.9,212,70.2,36,0.07,31,-8.26,326,103.2,343,111.5,252,5.4,61
191,Furman,15,SC,22-12,22,12,0.6470588235294118,-1.98,107.5,200,109.4,181,65.9,263,0.01,159,-6.29,289,108.1,217,114.4,356,-0.7,204
192,Siena,16,MAAC,23-11,23,11,0.6764705882352942,-2.1,107.1,210,109.2,175,64.6,319,0.005,177,-9.48,347,102.9,350,112.4,297,-7.72,343
207,Howard,16,MEAC,23-10,23,10,0.696969696969697,-3.19,103.1,283,106.3,117,69.0,89,-0.01,210,-14.6,364,100.5,363,115.1,361,-1.69,234
216,Long Island,16,NEC,24-10,24,10,0.7058823529411765,-3.95,105.6,239,109.6,186,67.8,154,0.104,12,-9.97,350,103.6,334,113.5,343,2.14,119
284,Lehigh,16,PL,18-16,18,16,0.5294117647058824,-10.37,102.7,290,113.1,257,66.9,205,0.081,23,-8.61,330,104.9,304,113.5,342,-0.54,199
288,Prairie View A&M,16,SWAC,18-17,18,17,0.5142857142857142,-10.69,101.2,310,111.9,232,70.9,23,0.013,147,-9.59,348,103.4,339,113.0,322,8.98,23
