Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2,BTHOT__Rk__1,BTHOT__Conf__1,BTHOT__G__1,BTHOT__Rec__1,BTHOT__Wins__1,BTHOT__Losses__1,BTHOT__WinPct__1,BTHOT__AdjO__1,BTHOT__Rk_AdjO__1,BTHOT__AdjD__1,BTHOT__Rk_AdjD__1,BTHOT__Barthag__1,BTHOT__Rk_Barthag__1,BTHOT__EFG%__1,BTHOT__Rk_EFG%__1,BTHOT__EFGD%__1,BTHOT__Rk_EFGD%__1,BTHOT__TOR__1,BTHOT__Rk_TOR__1,BTHOT__TORD__1,BTHOT__Rk_TORD__1,BTHOT__ORB__1,BTHOT__Rk_ORB__1,BTHOT__DRB__1,BTHOT__Rk_DRB__1,BTHOT__FTR__1,BTHOT__Rk_FTR__1,BTHOT__FTRD__1,BTHOT__Rk_FTRD__1,BTHOT__2P%__1,BTHOT__Rk_2P%__1,BTHOT__2P%D__1,BTHOT__Rk_2P%D__1,BTHOT__3P%__1,BTHOT__Rk_3P%__1,BTHOT__3P%D__1,BTHOT__Rk_3P%D__1,BTHOT__3PR__1,BTHOT__Rk_3PR__1,BTHOT__3PRD__1,BTHOT__Rk_3PRD__1,BTHOT__AdjT__1,BTHOT__Rk_AdjT__1,BTHOT__WAB__1,BTHOT__Rk_WAB__1,BTHOT__Rk__2,BTHOT__Conf__2,BTHOT__G__2,BTHOT__Rec__2,BTHOT__Wins__2,BTHOT__Losses__2,BTHOT__WinPct__2,BTHOT__AdjO__2,BTHOT__Rk_AdjO__2,BTHOT__AdjD__2,BTHOT__Rk_AdjD__2,BTHOT__Barthag__2,BTHOT__Rk_Barthag__2,BTHOT__EFG%__2,BTHOT__Rk_EFG%__2,BTHOT__EFGD%__2,BTHOT__Rk_EFGD%__2,BTHOT__TOR__2,BTHOT__Rk_TOR__2,BTHOT__TORD__2,BTHOT__Rk_TORD__2,BTHOT__ORB__2,BTHOT__Rk_ORB__2,BTHOT__DRB__2,BTHOT__Rk_DRB__2,BTHOT__FTR__2,BTHOT__Rk_FTR__2,BTHOT__FTRD__2,BTHOT__Rk_FTRD__2,BTHOT__2P%__2,BTHOT__Rk_2P%__2,BTHOT__2P%D__2,BTHOT__Rk_2P%D__2,BTHOT__3P%__2,BTHOT__Rk_3P%__2,BTHOT__3P%D__2,BTHOT__Rk_3P%D__2,BTHOT__3PR__2,BTHOT__Rk_3PR__2,BTHOT__3PRD__2,BTHOT__Rk_3PRD__2,BTHOT__AdjT__2,BTHOT__Rk_AdjT__2,BTHOT__WAB__2,BTHOT__Rk_WAB__2
Kansas,1,59,Villanova,2,64,Villanova,False,1,B12,30-4,30,4,0.8823529411764706,27.0,119.0,8,92.0,5,69.7,127,0.062,40,10.6,2,109.6,6,99.0,4,,92,5,BE,29-5,29,5,0.8529411764705882,24.5,117.4,11,92.9,7,67.4,251,0.012,141,7.2,19,107.7,39,100.5,27,,77,1,B12,33,29-4,29,4,0.8788,120.5,4,91.3,6,0.9607,1,55.9,9,45.3,19,17.8,148,19.1,104,32.2,88,28.8,124,39.0,111,37.2,181,52.2,47,43.3,18,42.2,3,33.0,82,33.4,226,32.2,71,70.1,113,11.4,1,2,BE,34,29-5,29,5,0.8529,118.9,10,90.4,5,0.9591,2,54.3,24,46.3,29,16.4,60,20.4,49,28.6,208,28.7,121,34.3,239,31.4,61,56.4,5,43.9,26,34.4,180,33.5,108,43.8,24,37.5,262,67.3,257,9.0,2,1,B12,33,29-4,29,4,0.1212,2.2,9.0,-2.0,12.0,0.014,2.0,0.9,16.0,1.3,63.0,1.3,84.0,-0.4,14.0,0.9,-4.0,0.5,42.0,-1.1,22.0,0.2,3.0,3.6,-16.0,5.5,152.0,-2.8,71.0,-5.5,-37.0,-2.1,19.0,-2.8,-13.0,0.3,-24.0,-9.1,2.0,2,BE,34,29-5,29,5,-0.1029,1.2,17.0,4.8,55.0,-0.0241,15.0,1.6,11.0,3.1,123.0,-2.2,-3.0,-1.8,73.0,-8.6,109.0,-1.7,-9.0,4.5,-119.0,0.6,56.0,-4.9,90.0,9.4,236.0,7.8,-143.0,-4.3,-40.0,-5.9,105.0,4.1,17.0,1.1,-103.0,-8.2,18.0
Oregon,1,68,Oklahoma,2,80,Oklahoma,False,9,P12,28-6,28,6,0.8235294117647058,21.9,119.3,6,97.4,47,68.7,183,0.035,89,7.7,16,107.1,52,99.4,8,,165,8,B12,25-7,25,7,0.78125,22.1,115.4,21,93.3,10,70.8,84,0.008,154,10.4,4,109.7,5,99.3,6,,136,21,P12,33,27-6,27,6,0.8182,117.7,16,96.9,48,0.9038,21,52.3,64,49.0,120,16.3,54,20.6,42,34.6,39,31.3,252,40.2,86,32.3,74,52.2,47,46.2,72,35.1,152,36.4,264,33.9,213,33.8,109,69.1,163,6.7,10,8,B12,32,25-7,25,7,0.7812,117.6,17,92.8,16,0.9384,8,54.5,21,46.4,33,18.0,168,17.6,208,30.5,144,29.8,175,33.6,253,27.3,19,48.1,200,44.0,27,42.6,2,34.0,132,40.7,59,35.0,156,71.1,80,7.9,5,21,P12,33,27-6,27,6,0.1818,6.7,-6.0,-3.1,-2.0,0.0589,-14.0,1.0,10.0,0.0,20.0,-0.4,58.0,0.1,11.0,6.5,-29.0,0.7,-23.0,-3.1,59.0,2.9,77.0,-1.5,57.0,0.6,55.0,4.5,-81.0,-1.1,-83.0,-3.4,39.0,1.4,44.0,-2.4,55.0,-3.8,-9.0,8,B12,32,25-7,25,7,-0.1145,-6.3,66.0,-0.5,15.0,-0.0422,25.0,1.5,11.0,3.9,141.0,5.3,144.0,5.2,-183.0,-7.2,136.0,-0.1,0.0,13.1,-211.0,0.1,38.0,4.2,-119.0,1.8,75.0,-2.0,54.0,4.2,99.0,2.0,-3.0,3.9,70.0,-1.6,31.0,-7.1,21.0
North Carolina,1,88,Notre Dame,6,74,North Carolina,True,4,ACC,28-6,28,6,0.8235294117647058,25.7,119.6,4,93.9,15,72.0,47,-0.043,282,8.7,11,109.3,9,100.6,30,,101,29,ACC,21-11,21,11,0.65625,14.4,118.0,10,103.6,172,65.8,317,0.033,94,7.8,14,108.8,20,101.0,49,,215,7,ACC,34,28-6,28,6,0.8235,120.1,6,94.3,22,0.9419,7,52.1,69,47.4,66,15.4,20,18.6,142,39.8,4,29.9,183,32.2,287,29.7,41,53.9,21,43.7,22,31.4,307,36.0,252,26.7,338,35.6,180,72.3,46,8.5,4,49,ACC,32,21-11,21,11,0.6562,118.4,12,103.5,169,0.8251,49,53.5,40,49.2,129,14.8,11,14.8,334,32.8,66,31.3,252,33.2,266,26.9,14,52.5,37,45.5,53,36.9,68,37.6,313,34.5,200,34.2,123,65.9,315,2.3,28,7,ACC,34,28-6,28,6,0.1765,-1.0,24.0,-10.0,-18.0,0.0397,-5.0,-2.1,78.0,-3.6,-28.0,1.2,127.0,-1.6,30.0,3.0,0.0,-2.6,-66.0,-2.4,-35.0,-4.1,3.0,-2.0,66.0,-5.1,-6.0,-1.7,-52.0,-1.2,-85.0,-0.6,-26.0,2.4,24.0,-2.5,57.0,-5.9,-2.0,49,ACC,32,21-11,21,11,-0.1562,-16.4,185.0,-5.5,-78.0,-0.2136,78.0,-5.5,166.0,-2.7,-49.0,4.4,226.0,-0.8,-66.0,-4.9,122.0,8.7,71.0,0.6,-64.0,-2.5,18.0,-5.7,162.0,-0.6,28.0,-3.6,121.0,-4.6,-176.0,2.0,-47.0,0.6,18.0,0.0,-73.0,-2.07,20.0
Virginia,1,62,Syracuse,10,68,Syracuse,False,3,ACC,26-7,26,7,0.7878787878787878,26.7,118.5,9,91.8,4,61.4,351,-0.043,280,10.5,3,109.9,4,99.4,9,,54,37,ACC,19-13,19,13,0.59375,13.2,109.5,74,96.3,38,65.7,321,-0.047,289,7.6,17,108.8,18,101.2,61,,189,3,ACC,33,26-7,26,7,0.7879,119.5,8,91.9,8,0.9532,3,54.4,22,48.7,108,15.3,17,19.7,75,30.6,141,25.9,33,32.4,281,33.7,101,51.9,55,46.5,79,40.5,9,34.9,181,28.1,324,37.3,255,61.6,351,8.7,3,36,ACC,32,19-13,19,13,0.5938,110.8,63,94.6,25,0.8603,36,50.4,146,47.5,69,18.3,192,20.6,42,33.0,61,35.3,337,35.5,207,29.4,38,47.6,218,48.7,162,36.1,111,30.4,12,43.2,28,40.3,316,65.7,320,-0.3,59,3,ACC,33,26-7,26,7,-0.0379,2.8,6.0,-7.1,-3.0,0.0323,-2.0,-1.0,49.0,-2.0,-22.0,1.4,132.0,0.0,5.0,2.7,-63.0,1.2,81.0,3.4,-111.0,-4.1,-22.0,-0.9,45.0,0.3,48.0,-1.2,66.0,-4.0,-88.0,1.8,-63.0,-9.2,-211.0,-1.2,-20.0,-7.2,6.0,36,ACC,32,19-13,19,13,-0.5938,1.2,12.0,5.5,88.0,-0.0769,43.0,4.6,-99.0,6.8,195.0,2.7,92.0,1.2,-5.0,-8.0,196.0,2.6,-30.0,-4.3,30.0,2.8,81.0,4.0,-125.0,7.6,129.0,3.9,-51.0,3.7,141.0,-1.9,48.0,-2.0,-105.0,2.7,-166.0,-0.5,144.0
